Nature,14.0,8.0,3.0,7.0,10.0,4.0,6.0,13.0,5.0,1.0,0.0,11.0,nan,9.0,12.0,2.0,Total
All,10864,17666,14314,7830,21619,15593,7134,3142,9478,11458,6392,9472,0,21931,11013,6333,177218
BUSINESS CHECK,1660,1194,1935,2947,2845,819,1511,672,1176,1605,951,2332,0,1968,1639,2813,26769
TRAFFIC STOP,555,734,676,596,1413,1475,253,288,1012,985,523,528,0,919,236,329,10694
RETURN STATION,2040,2527,2688,19,2154,2257,706,0,169,787,7,16,0,1451,2224,15,17408
TRBL W/SUBJ,405,715,454,675,1077,625,215,307,793,645,379,789,0,1674,340,318,9512
PATROL,333,288,490,304,831,129,216,134,114,680,853,438,0,274,311,291,5818
FOLLOW UP,376,578,360,225,817,554,318,125,286,248,201,246,0,918,406,108,5871
INVESTIGATION,137,819,396,101,613,467,108,32,321,311,155,161,0,527,290,77,4561
WELFARE CITIZEN,177,235,188,224,360,232,115,95,299,214,194,247,0,472,132,145,3375
REPORTS,1053,966,996,2,1169,999,385,2,110,57,0,6,0,779,1041,1,7578
POLICE ADMIN,617,1237,625,21,1087,724,437,7,49,398,18,23,0,1236,530,16,7103
ACC PDO,178,303,236,214,471,349,140,91,247,196,168,282,0,363,141,135,3589
SPECIAL ASSIGN,241,730,398,163,832,276,314,77,126,633,152,119,0,1104,391,85,5821
SUSP PERS/AUTO,120,160,115,105,207,139,93,68,139,96,115,162,0,173,92,131,1944
PARK AND WALK,46,186,55,210,536,97,198,9,164,177,66,569,0,551,110,131,3250
CALL FOR POLICE,50,230,102,52,177,167,62,23,181,179,106,129,0,173,31,44,1717
BATTERY,78,291,152,113,281,267,77,69,215,193,166,177,0,357,57,79,2603
THEFT,168,165,137,227,348,143,67,190,269,196,153,154,0,315,119,116,2794
ENTRY,45,188,101,82,188,161,50,24,140,139,115,126,0,124,44,62,1602
ASSIGNMENT,342,443,336,40,490,427,139,21,68,186,43,47,0,671,348,33,3692
SUBJ WANTED,48,201,145,26,193,185,47,19,170,123,93,97,0,282,81,33,1774
OUT OF SERVICE,509,575,561,0,547,601,11,0,51,11,3,1,0,566,571,4,4012
BATTERY DV,46,172,111,22,129,185,40,27,179,145,121,84,0,156,45,47,1526
INJ PERSON/SICK,92,151,91,106,240,142,46,59,120,106,67,214,0,315,80,38,1895
TRAFFIC HAZARD,85,148,154,63,202,169,83,47,106,108,162,90,0,163,63,83,1766
SHOTSPOTTER,0,307,2,0,61,151,3,0,68,79,0,70,0,34,0,0,775
