,Call_Rate,Nature,Location
114,0.013133994690512785,WELFARE CITIZEN,3.0
115,0.028607918263090677,WELFARE CITIZEN,7.0
116,0.0166520190573107,WELFARE CITIZEN,10.0
117,0.014878471108830886,WELFARE CITIZEN,4.0
118,0.016119988786094757,WELFARE CITIZEN,6.0
119,0.030235518777848504,WELFARE CITIZEN,13.0
120,0.03154673981852712,WELFARE CITIZEN,5.0
121,0.018676906964566243,WELFARE CITIZEN,1.0
122,0.03035043804755945,WELFARE CITIZEN,0.0
123,0.026076858108108107,WELFARE CITIZEN,11.0
124,0.02152204641831198,WELFARE CITIZEN,9.0
125,0.011985834922364479,WELFARE CITIZEN,12.0
126,0.02289594189167851,WELFARE CITIZEN,2.0
127,0.019044340868309088,WELFARE CITIZEN,Total
128,0.09692562592047128,REPORTS,14.0
129,0.05468130872863127,REPORTS,8.0
130,0.06958222719016348,REPORTS,3.0
131,0.0002554278416347382,REPORTS,7.0
132,0.054072806327767245,REPORTS,10.0
133,0.06406720964535369,REPORTS,4.0
134,0.05396691897953462,REPORTS,6.0
135,0.0006365372374283895,REPORTS,13.0
136,0.011605824013504958,REPORTS,5.0
137,0.004974690172805027,REPORTS,1.0
138,0.0,REPORTS,0.0
139,0.000633445945945946,REPORTS,11.0
140,0.03552049610140896,REPORTS,9.0
141,0.09452465268319259,REPORTS,12.0
142,0.00015790304752881732,REPORTS,2.0
143,0.04276089336297667,REPORTS,Total
144,0.05679307805596465,POLICE ADMIN,14.0
145,0.07002151024566965,POLICE ADMIN,8.0
146,0.04366354617856644,POLICE ADMIN,3.0
147,0.0026819923371647508,POLICE ADMIN,7.0
148,0.0502798464313798,POLICE ADMIN,10.0
149,0.046431090874110174,POLICE ADMIN,4.0
150,0.06125595738716008,POLICE ADMIN,6.0
151,0.0022278803309993636,POLICE ADMIN,13.0
152,0.0051698670605613,POLICE ADMIN,5.0
153,0.03473555594344563,POLICE ADMIN,1.0
154,0.002816020025031289,POLICE ADMIN,0.0
155,0.0024282094594594594,POLICE ADMIN,11.0
156,0.056358579180155945,POLICE ADMIN,9.0
157,0.04812494324888768,POLICE ADMIN,12.0
158,0.002526448760461077,POLICE ADMIN,2.0
159,0.04008057872225169,POLICE ADMIN,Total
160,0.01638438880706922,ACC PDO,14.0
161,0.01715159062606136,ACC PDO,8.0
162,0.016487355037026686,ACC PDO,3.0
163,0.027330779054916987,ACC PDO,7.0
164,0.021786391599981497,ACC PDO,10.0
165,0.022381838004232667,ACC PDO,4.0
166,0.019624334174376225,ACC PDO,6.0
167,0.028962444302991726,ACC PDO,13.0
168,0.026060350284870224,ACC PDO,5.0
169,0.017105952173154127,ACC PDO,1.0
170,0.026282853566958697,ACC PDO,0.0
171,0.02977195945945946,ACC PDO,11.0
172,0.016551912817472984,ACC PDO,9.0
173,0.01280305093979842,ACC PDO,12.0
174,0.021316911416390336,ACC PDO,2.0
175,0.0202518931485515,ACC PDO,Total
176,0.02218335787923417,SPECIAL ASSIGN,14.0
177,0.04132231404958678,SPECIAL ASSIGN,8.0
178,0.027804946206511107,SPECIAL ASSIGN,3.0
179,0.02081736909323116,SPECIAL ASSIGN,7.0
180,0.03848466626578473,SPECIAL ASSIGN,10.0
181,0.017700250112229848,SPECIAL ASSIGN,4.0
182,0.044014578076815254,SPECIAL ASSIGN,6.0
183,0.024506683640993,SPECIAL ASSIGN,13.0
184,0.013293943870014771,SPECIAL ASSIGN,5.0
185,0.05524524349799267,SPECIAL ASSIGN,1.0
186,0.023779724655819776,SPECIAL ASSIGN,0.0
187,0.012563344594594595,SPECIAL ASSIGN,11.0
188,0.05033970179198395,SPECIAL ASSIGN,9.0
189,0.035503495868519024,SPECIAL ASSIGN,12.0
190,0.013421759039949471,SPECIAL ASSIGN,2.0
191,0.03284655057612658,SPECIAL ASSIGN,Total
192,0.011045655375552283,SUSP PERS/AUTO,14.0
193,0.00905694554511491,SUSP PERS/AUTO,8.0
194,0.008034092496856224,SUSP PERS/AUTO,3.0
195,0.013409961685823755,SUSP PERS/AUTO,7.0
196,0.009574910957953651,SUSP PERS/AUTO,10.0
197,0.008914256397101264,SUSP PERS/AUTO,4.0
198,0.013036164844407064,SUSP PERS/AUTO,6.0
199,0.021642266072565246,SUSP PERS/AUTO,13.0
200,0.014665541253428994,SUSP PERS/AUTO,5.0
201,0.008378425554197941,SUSP PERS/AUTO,1.0
202,0.017991239048811013,SUSP PERS/AUTO,0.0
203,0.01710304054054054,SUSP PERS/AUTO,11.0
204,0.007888377182982992,SUSP PERS/AUTO,9.0
205,0.008353763733769183,SUSP PERS/AUTO,12.0
206,0.020685299226275065,SUSP PERS/AUTO,2.0
207,0.010969540340146034,SUSP PERS/AUTO,Total
208,0.004234167893961708,PARK AND WALK,14.0
209,0.010528699196196083,PARK AND WALK,8.0
210,0.0038423920637138467,PARK AND WALK,3.0
211,0.02681992337164751,PARK AND WALK,7.0
212,0.02479300615199593,PARK AND WALK,10.0
213,0.0062207400756749825,PARK AND WALK,4.0
214,0.027754415475189236,PARK AND WALK,6.0
215,0.002864417568427753,PARK AND WALK,13.0
216,0.017303228529225573,PARK AND WALK,5.0
217,0.015447722115552452,PARK AND WALK,1.0
218,0.01032540675844806,PARK AND WALK,0.0
219,0.06007179054054054,PARK AND WALK,11.0
220,0.025124253340020976,PARK AND WALK,9.0
221,0.009988195768637066,PARK AND WALK,12.0
222,0.020685299226275065,PARK AND WALK,2.0
223,0.018338994910223567,PARK AND WALK,Total
224,0.004602356406480118,CALL FOR POLICE,14.0
225,0.013019359221102682,CALL FOR POLICE,8.0
226,0.007125890736342043,CALL FOR POLICE,3.0
227,0.0066411238825031926,CALL FOR POLICE,7.0
228,0.00818724270317776,CALL FOR POLICE,10.0
229,0.010709933944718784,CALL FOR POLICE,4.0
230,0.008690776562938042,CALL FOR POLICE,6.0
231,0.00732017823042648,CALL FOR POLICE,13.0
232,0.019096855876767252,CALL FOR POLICE,5.0
233,0.015622272647931576,CALL FOR POLICE,1.0
234,0.01658322903629537,CALL FOR POLICE,0.0
235,0.013619087837837838,CALL FOR POLICE,11.0
236,0.007888377182982992,CALL FOR POLICE,9.0
237,0.002814855171161355,CALL FOR POLICE,12.0
238,0.006947734091267962,CALL FOR POLICE,2.0
239,0.009688632080262728,CALL FOR POLICE,Total
240,0.0071796759941089834,BATTERY,14.0
241,0.016472319710177742,BATTERY,8.0
242,0.010618974430627358,BATTERY,3.0
243,0.014431673052362707,BATTERY,7.0
244,0.012997825986400851,BATTERY,10.0
245,0.017123068043352785,BATTERY,4.0
246,0.010793383795906924,BATTERY,6.0
