Location,Cleaned Location,Latitude,Longitude
"S 13TH ST / W MORGAN AV,MKE",,,
"500 E OAK ST, OAK CREEK",,,
"2333 N 49TH ST,MKE",,,
"5348 N 91ST ST,MKE",,,
"6929 W SILVER SPRING DR,MKE",,,
"2050 S 24TH ST,MKE",,,
"1028 W CAPITOL DR,MKE",,,
"1677 N FARWELL AV,MKE",,,
837 S 2ND ST,,,
"3146 W GLENDALE AV,MKE",,,
"817 S 22ND ST,MKE",,,
"2305 W CLARKE ST,MKE",,,
"3357 N OAKLAND AV,MKE",,,
"2407 N 44TH ST,MKE",,,
"1126 E VIENNA AV,MKE",,,
"2900 W COLDSPRING, GREENFIELD",,,
"2319 W AUER AV,MKE",,,
"2149 S 24TH ST,MKE",,,
422 N 27TH STREET,,,
"7311 W CAPITOL DR,MKE",,,
"2202 S 12TH ST,MKE",,,
"3869 S 84TH ST,MKE",,,
"2826 N 35TH ST,MKE",,,
"545 N 33RD ST,MKE",,,
"1555 W CHAMBERS ST,MKE",,,
"719 S CESAR E CHAVEZ DR,MKE",,,
"2332 N FARWELL AV,MKE",,,
"3133 W HAMPTON AV,MKE",,,
"3332 N 14TH ST,MKE",,,
"W FOND DU LAC AV / W MILL RD,MKE",,,
"2999 N HUMBOLDT BL,MKE",,,
"N MOTHER DANIELS WA / W HAMPTON AV,MKE",,,
"2627 W CAPITOL DR,MKE",,,
"7908 W HERBERT AV,MKE",,,
"2843 N 20TH ST,MKE",,,
"5818 N 80TH ST,MKE",,,
"8110 W BROWN DEER RD,MKE",,,
"2519 N 49TH ST,MKE",,,
"6680 N TEUTONIA AV,MKE",,,
"2302 W CAPITOL DR,MKE",,,
"2544 S 43RD ST,MKE",,,
"6525 W BURLEIGH ST,MKE",,,
"3006 S 27TH ST,MKE",,,
"300 E OAK ST, OAK CREEK",,,
"2874 N 18TH ST,MKE",,,
"4703 N 73RD ST,MKE",,,
"1320 W BURNHAM ST,MKE",,,
"5151 S HOWELL AV,MKE",,,
"N 6TH ST / W MICHIGAN ST,MKE",,,
"5000 W CHAMBERS ST,MKE",,,
"7500 W MILL RD,MKE",,,
"3268 N 16TH ST,MKE",,,
"N 60TH ST / W MILL RD,MKE",,,
"9100 W OKLAHOMA AV,WA",,,
"1930 E NORTH AV,MKE",,,
"10404 W KIEHNAU AV,MKE",,,
"949 N 9TH ST,MKE",,,
"4701 S 20TH ST,MKE",,,
"9200 W WISCONSIN AV,MKE",,,
"N 60TH ST / W SILVER SPRING DR,MKE",,,
"345 W ST PAUL AV,MKE",,,
"1500 W COLLEGE AV,MKE",,,
"2460 N MARTIN L KING JR DR,MKE",,,
"7125 N 41ST ST,MKE",,,
"2973 N NEWHALL ST,MKE",,,
"2449 W FOND DU LAC AV,MKE",,,
"245 W LINCOLN AV,MKE",,,
"2429 N 16TH ST,MKE",,,
"3731 W GARFIELD AV,MKE",,,
"8435 W BURLEIGH ST,MKE",,,
"3107 N 44TH ST,MKE",,,
"4715 W VLIET ST,MKE",,,
"N MARSHALL ST / E WELLS ST,MKE",,,
"N MITCHELL BL / N STORY PK,MKE",,,
"230 S 76TH ST,MKE",,,
"707 S 1ST ST,MKE",,,
"7301 W GOOD HOPE RD,MKE",,,
"3626 W FOND DU LAC AV,MKE",,,
"3245 S 25TH ST,MKE",,,
"761 N 25TH ST,MKE",,,
"3530 N MARTIN L KING JR DR,MKE",,,
"420 N 27TH ST,MKE",,,
420 N 27TH STREET,,,
"5600 S HOWELL AV,MKE",,,
"906 W HISTORIC MITCHELL ST,MKE",,,
"2410 E OKLAHOMA AV,MKE",,,
"7009 W SILVER SPRING DR,MKE",,,
"5636 N 79TH ST,MKE",,,
"N 15TH ST / W HADLEY ST,MKE",,,
"749 W STATE ST,MKE",,,
"1135 W LAPHAM BL,MKE",,,
"5811 W THURSTON AV,MKE",,,
2348 N HUMBOLDT AV,,,
"N PROSPECT AV / E KNAPP ST,MKE",,,
"247 S 92ND ST,MKE",,,
"4912 N 65TH ST,MKE",,,
"1542 S 9TH ST,MKE",,,
"S 9TH ST / W HISTORIC MITCHELL ST,MKE",,,
"7425 W LAYTON AVE, GREENFIELD",,,
"3921 N 17TH ST,MKE",,,
"7501 N GRANVILLE RD,MKE",,,
"5881 N 91ST ST,MKE",,,
"3020 S 43RD ST,MKE",,,
"3109 N 38TH ST,MKE",,,
"3127 W WISCONSIN AV,MKE",,,
"3603 N 10TH ST,MKE",,,
"2242 S 18TH ST,MKE",,,
"N 91ST ST / W FOND DU LAC AV,MKE",,,
"2006 N 30TH ST,MKE",,,
"1441 S 35TH ST,MKE",,,
"400 N WATER ST,MKE",,,
"5300 W VILLARD AV,MKE",,,
510 N 27TH STREET,,,
